Name,Position,,,Points,,,PPG,,,'FG,,,FG%,,,'2pt,,,2p%,,,'3pt,,,3p%,,,'FT,,,FT%,,,OFF,,,OFFPG,,,DEF,,,DEFPG,,,REB,,,RPG,,,AST,,,APG,,,STL,,,SPG,,,BLK,,,BPG,,,TO,,,TOPG,,,MIN,,,Ave Mins,,,,Point Guard
J. Macalalag,Power Forward,6,9,0,0,2,3.4,'2-7,'3-8,'0-4,'0-5,'0-2,19.23%,'0-3,'2-7,'0-4,'0-3,'0-2,10.53%,'2-4,'1-1,'0-0,'0-2,'0-0,42.86%,'0-0,'2-2,'0-0,'0-0,'2-4,66.67%,1,3,0,0,0,0.8,2,1,0,1,0,0.8,3,4,0,1,0,1.6,3,1,2,3,1,2,1,1,0,0,0,0.4,0,0,1,0,0,0.2,1,1,1,0,4,1.4,30:21.0,26:49.0,24:19.0,20:42.0,23:24.0,25:07.0,,,,Center
H. Agunanne,Center,5,2,2,4,8,4.2,'2-2,'1-2,'1-3,'2-4,'4-8,52.63%,'2-2,'1-2,'1-3,'2-4,'1-1,58.33%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'1-4,'0-0,'0-0,'0-0,'0-3,14.29%,0,2,0,0,10,2.4,5,4,4,5,5,4.6,5,6,4,5,15,7,0,1,0,0,0,0.2,1,0,0,1,1,0.6,1,0,1,2,0,0.8,3,1,1,0,2,1.4,21:24.0,09:39.0,11:34.0,16:26.0,21:25.0,16:05.0,,,,
E. Gollena,Small Forward,2,9,11,0,2,4.8,'1-3,'3-8,'4-6,'0-3,'1-1,42.86%,'1-1,'3-6,'3-4,'0-2,'3-8,47.62%,'0-2,'0-2,'1-2,'0-1,'0-3,10.00%,'0-2,'3-4,'2-2,'0-0,'0-0,62.50%,1,1,1,2,1,1.2,1,1,3,3,0,1.6,2,2,4,5,1,2.8,1,5,0,1,0,1.4,2,0,0,0,0,0.4,1,0,0,0,1,0.4,3,0,0,0,1,0.8,26:57.0,23:27.0,21:00.0,09:40.0,10:40.0,18:20.0,,,,
K. Quiambao,Power Forward,13,22,19,14,6,14.8,'4-11,'7-14,'5-15,'3-7,'3-17,34.38%,'3-5,'3-7,'3-5,'2-2,'4-8,55.56%,'1-6,'4-7,'2-10,'1-5,'0-9,21.62%,'4-5,'4-6,'7-7,'7-10,'0-0,78.57%,1,1,6,0,2,2,3,8,5,3,5,4.8,4,9,11,3,7,6.8,0,2,1,2,5,2,0,1,0,3,1,1,0,0,1,2,0,0.6,3,4,6,2,0,3,30:04.0,32:18.0,35:30.0,26:18.0,31:11.0,31:04.0,,,,
L. Ramiro,Point Guard,5,0,5,7,4,4.2,'2-4,'0-1,'2-9,'2-3,'1-3,35.00%,'1-2,'0-1,'0-0,'0-0,'1-2,40.00%,'1-2,'0-0,'1-3,'2-3,'0-1,44.44%,'0-0,'0-2,'0-0,'1-2,'2-4,37.50%,0,0,1,1,0,0.4,0,0,1,2,2,1,0,0,2,3,2,1.4,0,1,1,1,1,0.8,1,0,0,1,0,0.4,0,0,0,0,0,0,1,2,0,0,4,1.4,08:31.0,10:49.0,12:40.0,14:51.0,14:43.0,12:18.0,,,,
C. Austria,Shooting Guard,3,5,7,2,0,3.4,'1-2,'2-6,'3-8,'1-11,'0-0,25.93%,'0-1,'2-3,'3-8,'1-7,'0-0,31.58%,'1-1,'0-3,'1-4,'0-4,'0-0,16.67%,'0-0,'1-3,'0-0,'0-0,'0-0,33.33%,1,1,4,1,0,1.4,0,1,1,0,0,0.4,1,2,5,1,0,1.8,0,3,2,2,1,1.6,0,3,0,0,0,0.6,0,0,1,0,0,0.2,2,4,1,0,0,1.4,12:06.0,20:15.0,18:19.0,16:04.0,05:10.0,14:22.0,,,,
M. Rubico,Point Guard,2,0,0,6,0,1.6,'1-3,'0-1,'0-1,'3-3,'0-0,50.00%,'1-2,'0-0,'0-0,'3-3,'0-0,80.00%,'0-1,'0-1,'0-1,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,1,0,0,1,0,0.4,0,0,0,1,0,0.2,1,0,0,2,0,0.6,0,1,0,1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,02:03.0,04:03.0,01:33.0,14:12.0,00:00.0,04:22.0,,,,
D. Dungo,Small Forward,2,0,0,5,1,1.6,'1-2,'0-0,'0-3,'2-6,'0-1,25.00%,'1-2,'0-0,'0-3,'2-2,'0-0,42.86%,'0-0,'0-0,'0-3,'0-4,'0-1,0.00%,'0-0,'0-0,'0-0,'1-2,'1-2,50.00%,0,0,0,0,0,0,0,0,1,0,3,0.8,0,0,1,0,3,0.8,0,0,3,0,2,1,0,0,1,0,0,0.2,0,0,0,0,1,0.2,1,0,0,0,1,0.4,01:59.0,00:00.0,09:48.0,10:55.0,09:05.0,06:21.0,,,,
V. Marasigan,Power Forward,0,0,2,5,1,1.6,'0-0,'0-0,'1-4,'2-4,'0-5,23.08%,'0-0,'0-0,'1-4,'2-4,'0-3,27.27%,'0-0,'0-0,'0-1,'0-0,'0-2,0.00%,'0-0,'0-0,'0-0,'1-2,'1-2,50.00%,0,1,0,0,0,0.2,1,0,1,0,1,0.6,1,1,1,0,1,0.8,1,1,0,1,0,0.6,0,0,0,4,0,0.8,0,0,0,0,0,0,2,2,2,2,1,1.8,02:38.0,03:45.0,06:33.0,10:50.0,11:54.0,07:08.0,,,,
R. Gonzales,Center,0,8,0,4,9,4.2,'0-2,'4-5,'0-0,'2-6,'4-5,55.56%,'0-2,'4-5,'0-0,'2-5,'4-5,58.82%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'0-0,'0-2,'0-0,'1-2,25.00%,2,0,0,3,4,1.8,1,2,0,6,5,2.8,3,2,0,9,9,4.6,0,0,0,0,0,0,0,0,0,2,0,0.4,0,2,0,1,0,0.6,0,0,0,2,2,0.8,07:28.0,10:25.0,03:26.0,12:30.0,15:01.0,09:46.0,,,,
A. Konov,Power Forward,0,0,0,4,0,0.8,'0-0,'0-0,'0-0,'1-3,'0-1,25.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'1-3,'0-1,25.00%,'0-0,'0-0,'0-0,'1-1,'0-1,50.00%,0,0,0,0,0,0,0,0,0,2,1,0.6,0,0,0,2,1,0.6,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,00:00.0,09:55.0,04:59.0,02:58.0,,,,
E. Alian,Point Guard,0,0,0,0,0,0,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,00:00.0,01:34.0,02:51.0,00:53.0,,,,
Q. Millora-Brown,Center,14,11,17,9,16,13.4,'5-10,'4-4,'7-11,'1-4,'7-10,61.54%,'5-10,'4-4,'7-11,'1-4,'7-10,61.54%,'0-0,'0/0,'0-0,'0-0,'0-0,0.00%,'4-4,'3-4,'3-4,'7-10,'2-6,67.86%,8,2,3,4,7,4.8,2,6,6,15,5,6.8,10,8,9,19,12,11.6,1,3,3,3,2,2.4,1,0,2,0,0,0.6,1,0,1,4,2,1.6,0,3,3,2,6,2.8,26:39.0,30:20.0,34:27.0,29:12.0,25:20.0,29:11.0,,,,
F. Lopez,Shooting Guard,12,16,13,15,4,12,'4-11,'5-13,'5-11,'5-17,'2-7,35.59%,'2-6,'3-10,'5-9,'4-9,'2-4,42.11%,'2-5,'2-3,'0-2,'1-8,'0-3,23.81%,'2-4,'4-8,'3-4,'5-5,'0-0,66.67%,2,0,1,3,2,1.6,11,9,5,6,5,7.2,13,9,6,9,7,8.8,6,1,2,1,3,2.6,1,2,1,0,0,0.8,1,4,4,1,2,2.4,9,2,2,2,1,3.2,34:56.0,34:16.0,24:21.0,31:58.0,24:10.0,29:56.0,,,,
J. Cagulangan,Point Guard,12,16,13,6,4,10.2,'4-18,'5-16,'5-16,'3-13,'0-9,23.61%,'3-12,'2-8,'4-9,'3-9,'0-7,26.67%,'1-6,'3-8,'1-7,'0-4,'0-2,18.52%,'3-3,'3-4,'2-3,'0-0,'4-4,85.71%,0,1,1,1,2,1,2,6,3,2,3,3.2,2,7,4,3,5,4.2,4,5,5,5,9,5.6,3,0,1,2,1,1.4,0,0,2,0,0,0.4,2,1,2,3,1,1.8,35:54.0,37:21.0,34:54.0,23:32.0,30:56.0,32:31.0,,,,
G. Abadiano,Point Guard,9,16,9,0,33,13.4,'3-6,'5-13,'3-10,'0-2,'12-17,47.92%,'2-4,'3-7,'2-6,'0-1,'7-9,51.85%,'1-2,'2-6,'1-4,'0-0,'5-8,45.00%,'2-2,'4-5,'2-2,'0-0,'4-5,85.71%,1,1,1,0,1,0.8,2,0,7,2,4,3,3,1,8,2,5,3.8,0,0,0,0,0,0,1,2,0,0,1,0.8,0,0,0,0,0,0,2,1,1,0,2,1.2,28:10.0,31:09.0,24:55.0,05:09.0,24:15.0,22:43.0,,,,
H. Alarcon,Shooting Guard,7,5,4,16,0,6.4,'3-6,'2-7,'1-4,'7-14,'0-1,40.63%,'3-5,'1-3,'1-2,'7-9,'0-1,60.00%,'0-1,'1-4,'0-2,'0-5,'0-0,8.33%,'1-2,'1-4,'2-2,'2-2,'0-0,60.00%,1,0,1,0,0,0.4,3,1,0,3,1,1.6,4,3,1,3,1,2.4,2,0,2,1,0,1,0,0,0,3,0,0.6,0,0,0,0,0,0,1,0,0,0,1,0.4,20:26.0,24:46.0,15:40.0,26:17.0,08:45.0,19:10.0,,,,
T. Fortea,Point Guard,4,0,2,8,4,3.6,'1-4,'0-2,'1-2,'3-6,'1-4,33.33%,'1-1,'0-0,'1-2,'3-3,'0-0,83.33%,'0-3,'0-2,'0-0,'0-3,'1-4,8.33%,'2-2,'0-0,'0-0,'2-2,'1-2,83.33%,0,0,0,0,0,0,1,0,0,1,1,0.6,1,0,0,1,1,0.6,0,0,0,2,1,0.6,1,0,0,0,0,0.2,0,0,0,0,0,0,1,0,2,0,0,0.6,11:06.0,04:14.0,08:34.0,14:48.0,07:42.0,09:16.0,,,,
G. Stevens,Center,4,2,0,2,0,1.6,'2-2,'1-0,'0-0,'0-0,'0-1,100.00%,'2-2,'1-1,'0-0,'0-0,'0-1,75.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0,'0-0,'0-0,'0-0,'2-4,'0-0,50.00%,0,0,0,1,0,0.2,0,0,1,1,0,0.4,0,1,1,2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.4,09:45.0,04:11.0,03:24.0,05:16.0,05:38.0,05:38.0,,,,
R. Torres,Small Forward,2,5,3,13,4,5.4,'1-5,'2-4,'1-4,'4-5,'1-2,45.00%,'1-3,'1-1,'0-2,'4-5,'1-1,58.33%,'0-2,'1-3,'1-2,'0-0,'1-3,30.00%,'0-0,'0-0,'0-0,'1-1,'2-2,100.00%,1,1,0,1,1,0.8,4,1,0,6,5,3.2,5,2,0,7,6,4,0,1,0,1,2,0.8,2,1,0,0,1,0.8,0,0,0,0,0,0,0,3,1,0,2,1.2,16:56.0,15:49.0,11:48.0,23:36.0,15:39.0,16:45.0,,,,
D. Ududo,Center,2,2,0,2,3,1.8,'1-2,'0-1,'0-0,'1-2,'1-3,37.50%,'1-2,'0-1,'0-0,'1-1,'0-0,50.00%,'0-0,'0-0,'0-0,'0-1,'0-0,0.00%,'0-0,'2-2,'0-0,'0-0,'0-0,100.00%,3,2,0,0,0,1,0,0,1,0,1,0.4,3,2,1,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2,1,0,0,0,0,0.2,03:35.0,05:27.0,02:07.0,06:33.0,03:10.0,04:10.0,,,,
J. Felicilda,Point Guard,0,0,0,4,2,1.2,'0-0,'0-0,'0-1,'2-2,'1-1,75.00%,'0-0,'0-0,'0-0,'2-2,'1-1,100.00%,'0-0,'0-0,'0-1,'0-0,'0-1,0.00%,'0-0,'0-0,'0-0,'0-0,'0-0,0.00%,1,0,0,0,2,0.6,1,0,0,1,1,0.6,2,0,0,1,3,1.2,1,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,1,0,0.2,04:05.0,01:31.0,05:05.0,08:52.0,09:00.0,05:42.0,,,,
J. Bayla,Shooting Guard,0,0,5,0,0,1,'0-0,'0-2,'1-3,'0-1,'0-1,14.29%,'0-0,'0-1,'1-2,'0-0,'0-0,33.33%,'0-0,'0-0,'0-1,'0-1,'0-1,0.00%,'0-0,'0-0,'3-6,'0-0,'0-0,50.00%,0,0,2,0,0,0.4,1,0,0,0,0,0.2,1,0,2,0,0,0.6,0,0,1,0,0,0.2,0,0,3,0,0,0.6,0,0,0,0,0,0,0,0,0,1,1,0.4,03:34.0,05:59.0,20:14.0,12:22.0,12:22.0,10:54.0,,,,
S. Torculas,Small Forward,0,2,7,0,2,2.2,'0-2,'1-2,'2-4,'0-0,'1-2,40.00%,'0-1,'1-2,'1-2,'0-0,'1-1,50.00%,'0-1,'0-0,'1-2,'0-0,'0-0,33.33%,'0-0,'0-0,'2-2,'0-0,'0-0,100.00%,0,0,0,0,0,0,0,1,2,1,1,1,0,1,2,1,1,1,0,0,2,0,0,0.4,0,1,0,0,0,0.2,0,0,0,0,0,0,2,1,1,0,0,0.8,04:47.0,04:50.0,14:25.0,02:07.0,02:07.0,05:39.0,,,,
