Name,Position,Unnamed: 2,Unnamed: 3,Points,Unnamed: 5,Unnamed: 6,PPG,Unnamed: 8,Unnamed: 9,'FG,Unnamed: 11,Unnamed: 12,FG%,Unnamed: 14,Unnamed: 15,'2pt,Unnamed: 17,Unnamed: 18,2p%,Unnamed: 20,Unnamed: 21,'3pt,Unnamed: 23,Unnamed: 24,3p%,Unnamed: 26,Unnamed: 27,'FT,Unnamed: 29,Unnamed: 30,FT%,Unnamed: 32,Unnamed: 33,OFF,Unnamed: 35,Unnamed: 36,OFFPG,Unnamed: 38,Unnamed: 39,DEF,Unnamed: 41,Unnamed: 42,DEFPG,Unnamed: 44,Unnamed: 45,REB,Unnamed: 47,Unnamed: 48,RPG,Unnamed: 50,Unnamed: 51,AST,Unnamed: 53,Unnamed: 54,APG,Unnamed: 56,Unnamed: 57,STL,Unnamed: 59,Unnamed: 60,SPG,Unnamed: 62,Unnamed: 63,BLK,Unnamed: 65,Unnamed: 66,BPG,Unnamed: 68,Unnamed: 69,TO,Unnamed: 71,Unnamed: 72,TOPG,Unnamed: 74,Unnamed: 75,MIN,Unnamed: 77,Unnamed: 78,Ave Mins,Unnamed: 80,Unnamed: 81,Unnamed: 82,Point Guard,Player_Number,Composite_Score,Rating,Rank,Overall_Composite_Score,Overall_Rank
L. Ramiro,Center,5,0,5,7,4,4.2,'2-4,'0-1,'2-9,'2-3,'1-3,35.00%,'1-2,'0-1,'0-0,'0-0,'1-2,40.00%,'1-2,'0-0,'1-3,'2-3,'0-1,44.44%,'0-0,'0-2,'0-0,'1-2,'2-4,37.50%,0,0,1,1,0,0.4,0,0,1,2,2,1.0,0,0,2,3,2,1.4,0,1,1,1,1,0.8,1,0,0,1,0,0.4,0,0,0,0,0,0.0,1,2,0,0,4,1.4,08:31.0,10:49.0,12.666666666666666,14:51.0,14:43.0,12:18.0,0.0,0.0,0.0,0,7,14.356666666666667,29.897773421089486,28.0,14.356666666666667,132.0
Q. Millora-Brown,Center,14,11,17,9,16,13.4,'5-10,'4-4,'7-11,'1-4,'7-10,61.54%,'5-10,'4-4,'7-11,'1-4,'7-10,61.54%,'0-0,'0/0,'0-0,'0-0,'0-0,0.00%,'4-4,'3-4,'3-4,'7-10,'2-6,67.86%,8,2,3,4,7,4.8,2,6,6,15,5,6.8,10,8,9,19,12,11.6,1,3,3,3,2,2.4,1,0,2,0,0,0.6,1,0,1,4,2,1.6,0,3,3,2,6,2.8,26:39.0,30:20.0,34.45,29:12.0,25:20.0,29:11.0,0.0,0.0,0.0,0,15,47.730000000000004,100.0,1.0,47.730000000000004,1.0
F. Lopez,Center,12,16,13,15,4,12.0,'4-11,'5-13,'5-11,'5-17,'2-7,35.59%,'2-6,'3-10,'5-9,'4-9,'2-4,42.11%,'2-5,'2-3,'0-2,'1-8,'0-3,23.81%,'2-4,'4-8,'3-4,'5-5,'0-0,66.67%,2,0,1,3,2,1.6,11,9,5,6,5,7.2,13,9,6,9,7,8.8,6,1,2,1,3,2.6,1,2,1,0,0,0.8,1,4,4,1,2,2.4,9,2,2,2,1,3.2,34:56.0,34:16.0,24.35,31:58.0,24:10.0,29:56.0,0.0,0.0,0.0,0,16,35.25,73.78518414787845,5.0,35.25,20.0
R. Torres,Center,2,5,3,13,4,5.4,'1-5,'2-4,'1-4,'4-5,'1-2,45.00%,'1-3,'1-1,'0-2,'4-5,'1-1,58.33%,'0-2,'1-3,'1-2,'0-0,'1-3,30.00%,'0-0,'0-0,'0-0,'1-1,'2-2,100.00%,1,1,0,1,1,0.8,4,1,0,6,5,3.2,5,2,0,7,6,4.0,0,1,0,1,2,0.8,2,1,0,0,1,0.8,0,0,0,0,0,0.0,0,3,1,0,2,1.2,16:56.0,15:49.0,11.8,23:36.0,15:39.0,16:45.0,0.0,0.0,0.0,0,22,16.240000000000002,33.85380198851701,27.0,16.240000000000002,127.0
J. Yerro,Center,5,6,7,4,3,5.0,'2-7,'2-7,'3-5,'2-9,'1-4,31.25%,'1-4,'0-2,'3-5,'2-2,'1-2,46.67%,'1-3,'2-2,'0-0,'0-7,'0-2,21.43%,'0-2,'0-0,'1-2,'0-0,'1-1,40.00%,0,0,0,0,0,0.0,4,3,0,3,3,2.6,4,3,0,3,3,2.6,2,1,7,3,3,3.2,1,0,2,0,0,0.6,0,2,0,0,0,0.4,0,2,2,0,0,0.8,21:38.0,26:46.0,30.716666666666665,22:41.0,22:41.0,24:53.0,0.0,0.0,0.0,0,30,35.28666666666667,73.862204173085,4.0,35.28666666666667,19.0
J. Barcelona,Center,0,3,3,5,4,3.0,'0-0,'1-1,'1-2,'2-3,'1-1,71.43%,'0-0,'1-1,'0-2,'1-1,'1-1,60.00%,'0-0,'1-1,'1-0,'1-2,'0-0,100.00%,'0-0,'0-0,'0-0,'1-2,'2-4,50.00%,0,0,0,0,1,0.2,0,0,0,1,0,0.2,0,0,0,1,1,0.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,00:46.0,01:41.0,1.6833333333333333,04:00.0,04:00.0,02:25.0,0.0,0.0,0.0,0,34,3.1833333333333336,6.427671194510573,39.0,3.1833333333333336,190.0
L. Estacio,Center,0,3,0,0,0,0.6,'0-0,'1-2,'0-1,'0-2,'0-0,20.00%,'0-0,'1-2,'0-0,'0-0,'0-0,50.00%,'0-0,'0-0,'0-1,'0-0,'0-0,0.00%,'0-0,'1-2,'0-0,'0-0,'0-0,50.00%,0,0,1,0,0,0.2,0,1,3,0,0,0.8,0,0,4,0,0,0.8,1,0,4,0,0,1.0,0,0,1,0,0,0.2,0,0,0,0,0,0.0,0,0,1,0,0,0.2,05:26.0,07:13.0,12.666666666666666,00:00.0,01:40.0,05:23.0,0.0,0.0,0.0,0,48,13.716666666666667,28.553423890211455,29.0,13.716666666666667,134.0
N. Cabanero,Center,12,13,27,19,16,17.4,'4-13,'5-13,'8-16,'7-17,'6-16,40.00%,'3-11,'5-10,'6-11,'5-10,'5-11,45.28%,'1-2,'0-3,'2-5,'2-7,'1-5,27.27%,'3-4,'3-4,'9-14,'3-4,'5-6,71.88%,0,2,3,0,0,1.0,3,6,5,1,3,3.6,3,8,8,1,3,4.6,1,1,1,3,3,1.8,0,1,0,1,1,0.6,0,1,0,0,0,0.2,2,2,2,2,2,2.0,29:35.0,29:35.0,34.38333333333333,33:20.0,35:42.0,32:31.0,0.0,0.0,0.0,0,50,43.653333333333336,91.43677356112589,2.0,43.653333333333336,6.0
F. Padrigan,Center,7,7,7,3,14,7.6,'2-8,'3-12,'3-11,'1-8,'5-14,26.42%,'1-2,'2-5,'2-3,'0-3,'2-5,38.89%,'1-6,'1-7,'1-8,'0-5,'3-9,17.14%,'2-4,'0-0,'1-2,'0-0,'3-9,40.00%,0,0,2,0,1,0.6,0,2,3,0,4,1.8,0,2,5,0,5,2.4,3,6,6,0,3,3.6,0,2,2,3,1,1.6,0,0,0,2,0,0.4,1,2,3,7,2,3.0,25:29.0,25:38.0,34.233333333333334,27:33.0,27:31.0,28:05.0,0.0,0.0,0.0,0,53,37.913333333333334,79.37963870606357,3.0,37.913333333333334,15.0
C. Koon,Center,10,2,5,9,9,7.0,'4-10,'1-3,'1-7,'4-9,'3-9,34.21%,'3-4,'1-3,'0-4,'3-3,'1-4,44.44%,'1-6,'0-0,'1-3,'1-5,'2-5,26.32%,'1-2,'0-0,'2-2,'0-0,'1-4,50.00%,0,2,1,0,0,0.6,3,2,3,1,5,2.8,3,4,4,1,7,3.8,0,0,0,0,2,0.4,2,0,1,1,1,1.0,0,0,0,0,0,0.0,2,1,1,5,1,2.0,34:23.0,10:46.0,26.583333333333332,20:00.0,26:34.0,23:39.0,0.0,0.0,0.0,0,56,30.553333333333335,63.91961910096625,12.0,30.553333333333335,42.0
