NAME,Team,Pos,S,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Total Sets,K,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Tot K,Ave K,E,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Tot Err,Ave E,TA,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Tot Att,Ave Att,PCT,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Ave Hit PCT,A,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Tot Ass,Ave Ass,SA,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Tot SA,Ave Ace,SE,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Tot SE,Ave SE,RE,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Tot RE,Ave RE,DIG,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Tot Dig,Ave Dig,BS,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Tot BS,BA,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Tot BA,Total Blk,Ave Blk,BE,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Tot BE,Ave BE,PTS,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Tot Pts,Ave Pts,Tot Err.1,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Ave Err,Player_Number,Composite_Score,Rating,Rank,Overall_Composite_Score,Overall_Rank
J. Nathan,Penn St.,L,3,4,4,5,5,4,25.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,3,1,0,0,3,7.0,0.28,0,0.0,0,0,0,1,1.0,0.04,1,1,0,2,0,0,4.0,0.16,3,1,1,2,0,0,7.0,0.28,1,2,7,9,6,10,35.0,1.4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1.0,0.04,4,2,1,4,0,0,0.44,5,1.036,30.40221914008322,32.0,1.036,149.0
A. Falduto,Penn St.,L,3,4,4,5,5,4,25.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,3,5,4,1,2,17.0,0.68,3,2.0,4,1,2,2,14.0,0.56,1,3,0,2,1,1,8.0,0.32,2,2,0,2,0,0,6.0,0.24,12,9,11,10,3,14,59.0,2.36,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,3,2,4,1,2,2,14.0,0.56,3,5,0,4,1,1,0.56,8,2.068,59.02912621359223,18.0,2.068,119.0
G. Grimes,Penn St.,L,3,4,4,5,5,4,25.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,6,2,7,5,9,7,36.0,1.44,0,0.0,0,1,1,1,3.0,0.12,2,0,4,1,3,3,13.0,0.52,2,1,1,3,1,1,9.0,0.36,14,16,15,17,25,16,103.0,4.12,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,1,3.0,0.12,4,1,5,4,4,4,0.88,9,3.2360000000000007,91.42857142857144,6.0,3.2360000000000007,89.0
Q. Menger,Penn St.,L,3,4,4,5,5,4,25.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,1.0,0.04,0,0,0,0,0,0,0.0,1,0,1,1,0,0,3.0,0.12,1,0.0,1,2,1,0,5.0,0.2,0,2,1,1,2,1,7.0,0.28,0,0,0,0,0,0,0.0,0.0,1,0,2,1,0,4,8.0,0.32,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,1,2,1,0,5.0,0.2,0,2,1,1,2,1,0.28,11,0.28800000000000003,9.653259361997227,42.0,0.28800000000000003,174.0
K. Schrand,Louisville,L,3,5,3,4,4,4,23.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0.04,0,0,0,0,0,0,0.0,1,0,0,0,0,0,1.0,0.04,1,1.0,0,0,1,0,3.0,0.13,0,2,1,0,1,1,5.0,0.22,0,0,0,0,0,0,0.0,0.0,5,1,1,1,1,3,12.0,0.52,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,1,0,3.0,0.13,0,2,1,0,1,1,0.22,24,0.42300000000000004,13.398058252427186,40.0,0.42300000000000004,170.0
E. Scott,Louisville,L,3,5,3,4,4,4,23.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,6,7,4,7,5,7,36.0,1.57,1,2.0,0,0,1,0,4.0,0.17,1,0,1,2,1,0,5.0,0.22,0,1,0,1,0,1,3.0,0.13,13,26,8,13,14,24,98.0,4.26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,2,0,0,1,0,4.0,0.17,1,1,1,3,1,1,0.35,25,3.545,100.0,1.0,3.545,78.0
S. Untiedti,Louisville,L,0,0,0,0,0,4,4.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,27,0.0,1.6643550624133148,50.0,0.0,190.0
D. Griffin,Pittsburgh,L,3,3,5,3,4,0,18.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,1.0,0.06,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,38,0.048,2.9958391123439667,49.0,0.048,189.0
E. Klika,Pittsburgh,L,3,3,5,3,4,0,18.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,2,0,3,1,5,0,11.0,0.61,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,0,3.0,0.17,12,8,13,9,21,0,63.0,3.5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,2,1,0,0,0.17,39,2.81,79.6116504854369,11.0,2.81,100.0
M. Meyer,Pittsburgh,L,3,3,5,3,4,0,18.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,1,0.0,3,1,0,0,5.0,0.28,0,1,0,1,1,0,3.0,0.17,0,0,0,0,0,0,0.0,0.0,3,0,4,2,2,0,11.0,0.61,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,1,0,3,1,0,0,5.0,0.28,0,1,0,1,1,0,0.17,40,0.577,17.66990291262136,38.0,0.577,167.0
