NAME,Team,Pos,S,,,,,,Total Sets,K,,,,,,Tot K,Ave K,E,,,,,,Tot Err,Ave E,TA,,,,,,Tot Att,Ave Att,PCT,,,,,,Ave Hit PCT,A,,,,,,Tot Ass,Ave Ass,SA,,,,,,Tot SA,Ave Ace,SE,,,,,,Tot SE,Ave SE,RE,,,,,,Tot RE,Ave RE,DIG,,,,,,Tot Dig,Ave Dig,BS,,,,,,Tot BS,BA,,,,,,Tot BA,Total Blk,Ave Blk,BE,,,,,,Tot BE,Ave BE,PTS,,,,,,Tot Pts,Ave Pts,Tot Err,,,,,,Ave Err
,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,,,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,
C. Jurevicius,Penn St.,OH,3,4,4,5,5,4,25,8,8,5,11,20,10,62,2.48,2,1,4,4,8,4,23,0.92,12,19,16,24,42,26,139,5.56,0.5,0.368,0.063,0.292,0.286,0.231,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,2,3,17,0.68,0,0,0,0,0,0,0,3,1,3,0,4,2,13,13,0.52,0,0,0,0,0,0,0,0,9.5,8.5,6.5,11,22,11,68.5,2.74,2,1,4,4,8,4,0.92
M. Mendelson,Penn St.,MB,3,4,4,5,5,4,25,4,4,5,1,1,6,21,0.84,0,2,2,3,1,1,9,0.36,8,16,17,9,4,14,68,2.72,0.5,0.125,0.176,-0.222,0,0.357,0.037,0,2,2,0,1,1,6,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,5,0.2,0,0,1,0,0,1,2,2,6,2,1,0,5,16,18,0.72,0,1,0,0,0,0,1,0.04,5,7,7,1.5,1,9.5,31,1.24,0,3,2,3,1,1,0.4
J. Mruzik,Penn St.,OH,3,4,4,5,5,4,25,10,21,20,20,26,29,126,5.04,1,7,9,5,5,6,33,1.32,19,50,52,54,70,73,318,12.72,0.474,0.28,0.212,0.278,0.3,0.315,0.074,0,2,2,0,2,1,7,0.28,4,0,1,1,1,1,8,0.32,0,0,2,3,3,1,9,0.36,0,1,0,3,5,1,10,0.4,5,9,13,8,12,14,61,2.44,0,1,0,0,0,1,2,0,3,0,4,1,4,12,14,0.56,0,0,0,1,1,2,4,0.16,14,23.5,21,23,27.5,33,142,5.68,1,8,11,12,14,10,2.24
J. Nathan,Penn St.,L,3,4,4,5,5,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,7,0.28,0,0,0,0,0,1,1,0.04,1,1,0,2,0,0,4,0.16,3,1,1,2,0,0,7,0.28,1,2,7,9,6,10,35,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.04,4,2,1,4,0,0,0.44
I. Starck,Penn St.,S,3,4,4,5,5,4,25,2,5,3,6,2,0,18,0.72,0,0,2,0,2,2,6,0.24,3,8,12,16,9,7,55,2.2,0.667,0.625,0.083,0.375,0,-0.286,0.059,32,41,43,41,56,55,268,10.72,1,0,0,0,1,1,3,0.12,0,0,3,2,3,3,11,0.44,0,1,0,0,0,0,1,0.04,5,7,13,11,11,13,60,2.4,0,0,0,0,0,0,0,1,5,3,3,2,1,15,15,0.6,0,0,0,0,0,0,0,0,3.5,7.5,4.5,7.5,4,1.5,28.5,1.14,0,1,5,2,5,5,0.72
T. Trammell,Penn St.,MB,3,4,4,5,5,4,25,3,8,9,8,5,8,41,1.64,1,0,1,1,2,1,6,0.24,7,9,17,12,13,15,73,2.92,0.286,0.889,0.471,0.583,0.231,0.467,0.117,0,0,2,0,0,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0.08,0,2,0,1,1,0,4,2,4,4,4,4,3,21,25,1,0,0,0,0,1,0,1,0.04,4,12,11,11,8,9.5,55.5,2.22,1,0,1,1,3,1,0.28
A. Falduto,Penn St.,L,3,4,4,5,5,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,4,1,2,17,0.68,3,2,4,1,2,2,14,0.56,1,3,0,2,1,1,8,0.32,2,2,0,2,0,0,6,0.24,12,9,11,10,3,14,59,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,2,2,14,0.56,3,5,0,4,1,1,0.56
G. Grimes,Penn St.,L,3,4,4,5,5,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,7,5,9,7,36,1.44,0,0,0,1,1,1,3,0.12,2,0,4,1,3,3,13,0.52,2,1,1,3,1,1,9,0.36,14,16,15,17,25,16,103,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0.12,4,1,5,4,4,4,0.88
C. Hannah,Penn St.,OH,3,4,4,5,5,4,25,11,13,24,9,16,19,92,3.68,0,3,4,10,7,9,33,1.32,20,23,42,29,44,42,200,8,0.55,0.435,0.476,-0.034,0.205,0.238,0.075,0,0,0,0,0,0,0,0,0,1,1,2,1,1,6,0.24,1,5,2,2,2,4,16,0.64,1,1,0,0,0,2,4,0.16,3,2,4,2,5,3,19,0.76,0,0,1,1,1,1,4,1,1,0,2,0,1,5,9,0.36,0,0,0,0,0,0,0,0,11.5,14.5,26,13,18,21.5,104.5,4.18,2,9,6,12,9,15,2.12
